"density(g/cc)","porosity(%)","Gamma(API)","sonic(ms/m","resistivity(ohm-m)"
2.75,7,109.94717245212,176.32999099835,7.063904
2.8,19,134.28977968494,211.38015812504,5.518617
2.9,25,4.4816890703381,160.999977299,8.805975
2.95,17,7.3890560989307,160.34012630312,9.101752
3,20,20.085536923188,159.58999415422,9.230339
3.1,18,12.182493960704,158.45999701144,9.283405
3.2,26,33.115451958692,158.64992719555,9.206432
3.3,18,39.646394072573,159.81997877591,9.035093
2,50,49.40244910553,211.38015812504,5.518617
2.2,56,54.598150033144,208.88007693471,5.346155
1,85,60.340287597362,214.63008826233,5.236442
2.9,15,66.686331040925,219.49998342775,5.215371
2.77,20,73.699793699596,217.88011364627,5.35432
3.0565,8.595,28.141996556374,160.999977299,8.805975
3.0146,8.3128,22.248998580914,160.34012630312,9.101752
2.8735,8.1459,21.359999698995,159.58999415422,9.230339
2.8983,8.0903,18.498007063794,158.45999701144,9.283405
2.8826,8.2699,20.874994348368,158.64992719555,9.206432
2.8163,8.1681,20.875996372145,159.81997877591,9.035093
2.946,12.359,29.595993575795,160.10005613108,8.975593
2.9329,12.125,29.472010018333,160.24998998438,8.976502
2.9531,17.239,9.9918024319031,161.18001825525,8.947129
2.8481,17.745,9.7369020268318,161.78996653051,8.905187
2.9074,13.273,52.031015879943,151.19989972423,8.304248
2.8769,13.003,52.504978832196,152.78995216605,7.772753
2.9011,13.399,20.159991065026,157.61996376632,10.25724
2.9326,13.836,21.453997679209,153.90999097472,10.44813
2.9781,14.272,19.321007974179,149.78995703275,9.784253
2.9762,14.513,16.906006956707,147.44995622211,9.269363
2.9874,14.542,16.485991165303,163.52989081109,7.446293
3.0294,14.473,18.412006886918,162.59001999695,7.890583
2.7592,9.3483,123.97004948263,170.04006313928,7.944138
2.7359,9.6893,125.93992405057,171.09002825723,8.038447
2.7715,10.203,125.20995897109,170.52007942143,7.784889
2.7459,10.432,123.799955401,169.90000535185,7.596894
2.7205,10.5,125.4899906984,169.92991580482,7.507745
2.6489,10.339,126.27991618928,171.07993008305,7.633273
2.6985,10.148,127.14002015064,171.6498918949,8.005033
2.7573,9.9967,126.70999863016,171.4099807918,8.536996
2.7542,9.8567,126.61993984083,170.88995558399,8.812248
2.7543,9.8655,124.63992744428,168.73994626308,8.835137
2.7397,10.098,122.6100507306,167.64001251936,8.54091
2.7162,10.445,113.78992667729,168.39995123137,8.15823
2.7198,10.45,110.18998363682,169.4799778049,7.781138
2.7295,9.7442,109.51001431431,170.29004140432,7.553287
2.8622,12.696,53.740988653806,160.999977299,8.805975
2.8776,12.225,53.554991258936,160.34012630312,9.101752
2.8879,11.62,40.917997379872,159.58999415422,9.230339
2.8604,11.261,53.483008215141,158.45999701144,9.283405
2.9151,11.218,40.917997379872,158.64992719555,9.206432
2.9245,11.52,31.970992265995,159.81997877591,9.035093
2.9583,11.981,25.598992621792,160.10005613108,8.975593
2.946,12.514,26.332001853625,160.24998998438,8.976502
2.9791,12.991,18.027006597525,161.18001825525,8.947129
2.8782,11.73,26.005004493013,161.78996653051,8.905187
2.8965,11.493,24.736008103391,151.19989972423,8.304248
2.9061,11.447,25.282994105929,152.78995216605,7.772753
2.9066,11.644,28.0859934968,157.61996376632,10.25724
2.9012,11.907,29.096008505208,153.90999097472,10.44813
2.8704,12.34,29.456011061003,149.78995703275,9.784253
2.9191,12.81,31.268994014323,147.44995622211,9.269363
2.8778,13.345,28.489995768956,163.52989081109,7.446293
2.9239,13.883,27.452987602191,162.59001999695,7.890583
2.8826,14.413,28.580995387234,163.33997582568,8.296047
2.8438,13.978,29.015988336133,160.999977299,8.805975
2.8411,12.656,29.514008056105,160.34012630312,9.101752
2.858,10.551,36.804017116804,159.58999415422,9.230339
2.8524,16.931,11.680000263967,158.45999701144,9.283405
2.7498,19.09,57.071964123608,165.68989710823,8.658258
2.7407,18.488,57.918972040476,165.92005407666,8.605753
2.8003,17.81,69.193989367499,167.58000562734,8.516994
2.7544,17.232,67.795986701422,169.18993719162,8.377011
2.7444,17.011,69.684993967267,165,7.90415
2.7717,16.95,69.566004018449,171.70005374212,7.798441
2.679,18.328,69.894013374519,163,7.733684
2.5581,18.043,68.599002924642,170.72007336866,7.461353
2.0616,17.149,67.66797329733,162,7.287082
1.9125,16.014,72.509964949871,171.11002323161,7.163947
1.9952,15.047,73.637028217256,171.91000786145,7.054709
2.6,8,99.484315641934,167.16995969198,6.520621
2.7,10,109.94717245212,168.53001881975,6.609686
2.75,15,121.51041751874,169.48997415956,6.848005
2.75,7,109.94717245212,170.7999398101,6.939545
2.8,19,134.28977968494,165.68989710823,8.658258
2.9,25,4.4816890703381,160.999977299,8.805975
2.95,17,7.3890560989307,160.34012630312,9.101752
3,20,20.085536923188,159.58999415422,9.230339
3.1,18,12.182493960704,158.45999701144,9.283405
